41151000	41199998	41250000	41260000	41300000	41340000	41380000	41410000
30.3	148.0	55.8	497.0	120.0	902.0	62.0	761.0
30.3	246.0	108.0	872.0	109.0	370.0	175.0	627.0
29.1	271.0	60.4	750.0	115.0	425.0	165.0	540.0
20.6	201.0	44.3	578.0	96.5	555.0	224.0	447.0
32.8	95.1	54.9	894.0	65.8	754.0	159.0	591.0
23.7	234.0	159.0	262.0	77.2	688.0	222.0	218.0
34.3	240.0	123.0	303.0	88.7	799.0	88.5	433.0
35.7	402.0	83.8	513.0	66.5	580.0	181.0	626.0
18.6	211.0	95.0	216.0	84.2	650.0	132.0	381.0
12.2	269.0	141.0	787.0	93.4	312.0	60.3	423.0
22.4	435.0	94.0	653.0	97.2	274.0	170.0	200.0
22.6	297.0	163.0	738.0	88.5	480.0	102.0	771.0
25.9	234.0	42.9	802.0	68.1	490.0	140.0	612.0
12.9	417.0	40.8	345.0	43.0	748.0	183.0	591.0
31.0	129.0	104.0	509.0	89.0	380.0	195.0	846.0
55.1	237.0	102.0	876.0	123.0	245.0	158.0	1208.0
71.5	293.0	159.0	411.0	79.6	632.0	122.0	342.0
44.4	146.0	87.8	251.0	80.7	1006.0	117.0	811.0
49.9	326.0	105.0		50.9	449.0	261.0	384.0
62.4	351.0	83.8		120.0	790.0	105.0	965.0
32.8	435.0	236.0		96.0	569.0	84.9	1004.0
48.2	293.0	145.0		105.0	624.0		848.0
70.4	163.0	47.2		62.5	654.0		599.0
61.5	431.0			83.1	380.0		577.0
53.9	575.0			86.7	497.0		1131.0
24.3	159.0			58.9	182.0		485.0
23.5	94.1			105.0	351.0		386.0
64.6				69.3	498.0		
73.0				96.3	309.0		
65.2				71.2	375.0		
56.0				27.7	171.0		
17.2				179.0	745.0		
17.9				403.0	564.0		
47.4				179.0	858.0		
54.4				149.0	1108.0		
20.3				154.0	570.0		
25.5				274.0	984.0		
				102.0	934.0		
				41.2	953.0		
				200.0	539.0		
				82.4	514.0		
				148.0	281.0		
				269.0			
				252.0			
				229.0			
				122.0			
				40.7			
				281.0			
				114.0			
				33.5			
