Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:41380000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
41380000;1;01/11/2023;;1;1;"3,9712";"0,7975";"1,4351";1;15;1;1;1;"0,0";0;"3,9712";"2,8394";"1,8892";"1,5258";"1,5843";"1,3552";"1,3";"1,1923";"1,0881";"1,0373";"0,9386";"0,8906";"0,8906";"0,8906";"0,7975";"0,8906";"1,3552";"1,1397";"0,8436";"2,8394";"2,7558";"1,5258";"1,2457";"1,2457";"0,9875";"2,0167";"1,2457";"1,0373";"0,8906";"0,8436";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
41380000;1;01/12/2022;;1;1;"79,7756";"2,177";"14,4264";21;6;1;1;1;;0;"6,8861";"5,8283";"3,146";"2,8973";"2,6527";"2,177";"2,177";"24,3613";"6,7885";"3,8285";"54,9022";"7,2792";"53,9722";"43,3674";"12,5177";"6,1133";"4,8076";"9,9333";"8,2805";"28,1898";"79,7756";"22,3664";"9,5146";"6,5942";"5,8283";"5,5461";"7,8769";"5,3595";"4,4464";"4,4464";"5,3595";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
41380000;1;01/11/2022;;1;1;"41,5974";"0,8822";"5,6217";30;7;3;3;3;"0,0";0;"1,5484";"1,0831";"1,4241";"1,1915";"1,1915";"0,98";"0,8822";"1,0831";"5,3595";"3,3988";"1,8131";"9,9333";"2,7337";"2,5721";"4,268";"34,9543";"8,8933";"3,2299";"2,2549";"2,7337";"2,0991";"1,6781";"1,8131";"1,9534";"4,8076";"2,4125";"7,6766";"3,5695";"9,5146";"41,5974";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;0
41380000;1;01/10/2022;;1;1;"4,0911";"0,6202";"1,2476";5;18;1;1;1;;0;"0,8822";"0,98";"1,2476";"3,0627";"4,0911";"2,0256";"1,4241";"4,0032";"1,4241";"1,364";"1,0831";"0,98";"0,8822";"0,7896";"0,7896";"0,7023";"0,7023";"0,6202";"0,6202";"0,6202";"0,6202";"0,6202";"0,7023";"0,7023";"1,1915";"1,364";"0,9304";"0,7896";"1,5484";"1,0309";"0,8822";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
41380000;1;01/09/2022;;1;1;"0,98";"0,6202";"0,7081";23;7;1;1;1;;0;"0,7023";"0,7023";"0,7023";"0,7023";"0,7023";"0,7023";"0,6202";"0,6202";"0,6202";"0,6202";"0,6202";"0,6202";"0,6202";"0,6202";"0,6202";"0,6202";"0,6202";"0,6202";"0,6202";"0,6202";"0,6202";"0,7896";"0,98";"0,98";"0,8822";"0,7896";"0,7023";"0,7896";"0,8822";"0,9304";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
41380000;1;01/08/2022;;1;1;"0,98";"0,7023";"0,8466";1;24;1;1;1;;0;"0,98";"0,98";"0,98";"0,98";"0,98";"0,98";"0,98";"0,98";"0,98";"0,98";"0,98";"0,8822";"0,8822";"0,8822";"0,8822";"0,7896";"0,7896";"0,7896";"0,7896";"0,7896";"0,7896";"0,7896";"0,7896";"0,7023";"0,7023";"0,7023";"0,7023";"0,7023";"0,7023";"0,7023";"0,7023";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41380000;1;01/07/2022;;1;1;"1,1915";"0,98";"1,0817";9;30;1;1;1;;0;"1,0831";"1,0831";"1,0831";"1,0831";"1,0831";"1,0831";"1,0831";"1,1366";"1,1915";"1,0831";"1,0831";"1,0831";"1,0831";"1,0831";"1,0831";"1,0831";"1,0831";"1,0831";"1,0831";"1,0831";"1,0831";"1,0831";"1,0831";"1,0831";"1,0831";"1,0831";"1,0831";"1,0831";"1,0831";"0,98";"0,98";;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
41380000;1;01/06/2022;;1;1;"1,4241";"1,0831";"1,2309";1;25;1;1;1;;0;"1,4241";"1,4241";"1,4241";"1,3051";"1,3051";"1,3051";"1,3051";"1,3051";"1,3051";"1,3051";"1,3051";"1,3051";"1,3051";"1,1915";"1,1915";"1,1915";"1,1915";"1,1915";"1,1915";"1,1915";"1,1915";"1,1915";"1,1915";"1,1915";"1,0831";"1,0831";"1,0831";"1,0831";"1,0831";"1,0831";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
41380000;1;01/05/2022;;1;1;"1,9534";"1,4241";"1,6012";18;25;1;1;1;;0;"1,5484";"1,5484";"1,5484";"1,7449";"1,8131";"1,8131";"1,8131";"1,6781";"1,6781";"1,5484";"1,5484";"1,5484";"1,5484";"1,5484";"1,5484";"1,6781";"1,8826";"1,9534";"1,6781";"1,6781";"1,6781";"1,5484";"1,5484";"1,5484";"1,4241";"1,4241";"1,4241";"1,4241";"1,4241";"1,4241";"1,4241";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
41380000;1;01/04/2022;;1;1;"2,4125";"1,5484";"2,0174";1;28;1;1;1;;0;"2,4125";"2,4125";"2,4125";"2,4125";"2,4125";"2,4125";"2,2549";"2,2549";"2,0991";"2,0991";"2,0991";"2,0991";"2,0991";"2,0991";"2,0991";"2,0991";"1,9534";"1,9534";"1,9534";"1,9534";"1,8131";"1,8131";"1,8131";"1,8131";"1,6781";"1,6781";"1,6781";"1,5484";"1,5484";"1,5484";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
